fid,x,y,class,uid
226.0,1590.1306,791.41895,car,99.0
226.0,1505.8441,940.63214,car,100.0
227.0,1588.8433,790.34033,car,99.0
227.0,1503.6799,936.7756,car,100.0
228.0,1586.2775,788.1902,car,99.0
228.0,1501.1298,932.9317,car,100.0
229.0,1583.7225,786.04926,car,99.0
229.0,1500.6294,930.40674,car,100.0
230.0,1582.4491,784.9821,car,99.0
230.0,1498.891,926.61395,car,100.0
231.0,1580.7891,783.93005,car,99.0
231.0,1497.1619,922.84094,car,100.0
232.0,1578.7444,782.89307,car,99.0
232.0,1495.8353,919.0945,car,100.0
233.0,1578.3558,782.90576,car,99.0
233.0,1494.5151,915.3662,car,100.0
234.0,1578.3558,782.90576,car,99.0
234.0,1493.2013,911.6562,car,100.0
235.0,1578.3558,782.90576,car,99.0
235.0,1490.2913,906.7234,car,100.0
236.0,1578.7444,782.89307,car,99.0
236.0,1485.4265,900.5955,car,100.0
237.0,1579.1329,782.8803,car,99.0
237.0,1480.6106,894.52936,car,100.0
238.0,1579.5216,782.8676,car,99.0
238.0,1476.2244,888.52594,car,100.0
239.0,1579.5216,782.8676,car,99.0
239.0,1469.9572,881.3953,car,100.0
240.0,1579.5216,782.8676,car,99.0
240.0,1466.8256,876.6918,car,100.0
241.0,1577.4807,781.8331,car,99.0
241.0,1463.7172,872.0231,car,100.0
242.0,1577.0929,781.846,car,99.0
242.0,1460.6318,867.38916,car,100.0
243.0,1576.705,781.8588,car,99.0
243.0,1457.1984,862.7909,car,100.0
244.0,1575.9297,781.8845,car,99.0
244.0,1455.657,859.36,car,100.0
245.0,1574.7676,781.923,car,99.0
245.0,1452.632,854.8186,car,100.0
246.0,1575.6393,782.9946,car,99.0
246.0,1449.6292,850.3106,car,100.0
247.0,1574.8641,783.01996,car,99.0
247.0,1446.6482,845.8353,car,100.0
248.0,1574.0895,783.04535,car,99.0
248.0,1442.5902,840.2916,car,100.0
249.0,1573.7023,783.058,car,99.0
249.0,1437.1238,833.71716,car,100.0
250.0,1573.7023,783.058,car,99.0
250.0,1430.292,826.1526,car,100.0
251.0,1573.7023,783.058,car,99.0
251.0,1423.907,818.6848,car,100.0
252.0,1573.3152,783.0707,car,99.0
252.0,1419.0026,812.35236,car,100.0
253.0,1572.9282,783.0833,car,99.0
253.0,1415.189,807.12305,car,100.0
254.0,1570.9009,782.051,car,99.0
254.0,1411.0641,801.95044,car,100.0
255.0,1568.8794,781.02167,car,99.0
255.0,1409.7102,798.8382,car,100.0
256.0,1567.2477,779.9818,car,99.0
256.0,1408.7063,795.73035,car,100.0
257.0,1566.3881,778.9183,car,99.0
257.0,1406.0051,791.65125,car,100.0
258.0,1565.5299,777.85657,car,99.0
